id,local,visitante,liga,fecha
1,America,Guadalajara,Liga MX,2026-05-10
2,Monterrey,Tigres,Liga MX,2026-05-10
3,Pumas,Cruz Azul,Liga MX,2026-05-10
4,Toluca,Pachuca,Liga MX,2026-05-10
5,Leon,Santos,Liga MX,2026-05-10
6,Atlas,Queretaro,Liga MX,2026-05-10
7,Napoli,Inter,Serie A,2026-05-10
8,Barcelona,Atletico Madrid,LaLiga,2026-05-10
9,Arsenal,Chelsea,Premier League,2026-05-10
10,Bayern Munich,Dortmund,Bundesliga,2026-05-10
11,PSG,Monaco,Ligue 1,2026-05-10
12,Porto,Benfica,Portugal,2026-05-10
13,Ajax,PSV,Eredivisie,2026-05-10
14,River Plate,Boca Juniors,Argentina,2026-05-10

